name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets,product:brand,product:warranty,product:eanCode,product:quote,product:quoteOwner,product:boardCategory,product:terrain,product:camberProfile,product:profile,product:baseProfile,product:rider,product:taperProfile,product:bindingSize,product:bindingMount,product:edges,product:sidewall,product:core,product:layup1,product:layup2,product:layup3,product:boardbase,variant:descriptionTab1Label,variant:descriptionTab1Visible,variant:descriptionTab1Content,variant:shortdescription,variant:optionTab1Label,variant:optionTab1Visible,variant:optionTab1Bar1Name,variant:optionTab1Bar1Visible,variant:optionTab1Bar1Min,variant:optionTab1Bar1Max,variant:optionTab1Bar1MinLabel,variant:optionTab1Bar1MaxLabel,variant:optionTab1Bar1Rating,variant:optionTab1Bar2Name,variant:optionTab1Bar2Visible,variant:optionTab1Bar2Min,variant:optionTab1Bar2Max,variant:optionTab1Bar2MinLabel,variant:optionTab1Bar2MaxLabel,variant:optionTab1Bar2Rating,variant:optionTab2Label,variant:optionTab2Visible,variant:optionTab2Bar1Name,variant:optionTab2Bar1Visible,variant:optionTab2Bar1MinLabel,variant:optionTab2Bar1MaxLabel,variant:optionTab2Bar1Rating,variant:optionTab2Bar2Name,variant:optionTab2Bar2Visible,variant:optionTab2Bar2MinLabel,variant:optionTab2Bar2MaxLabel,variant:optionTab2Bar2Rating,variant:optionTab2Bar3Name,variant:optionTab2Bar3Visible,variant:optionTab2Bar3MinLabel,variant:optionTab2Bar3MaxLabel,variant:optionTab2Bar3Rating,variant:noseWidth,variant:waistWidth,variant:tailWidth,variant:taper,variant:boardWidth,variant:bootLengthMax,variant:effectiveEdge,variant:averageSidecutRadius,variant:setback,variant:stanceMin,variant:stanceMax,variant:weightKg,variant:bindingSizeVariant,variant:riderLengthMin,variant:riderLengthMax,variant:riderWeightMin,variant:riderWeightMax,variant:frontPhoto,variant:backPhoto
Cameleon,bataleon-snowboard-cameleon,"
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",bataleon/cameleon/bataleon-cameleon-2425-top-base.png|bataleon/cameleon/bataleon-cameleon-2425-detail1.png|bataleon/cameleon/bataleon-cameleon-2425-detail2.png|bataleon/cameleon/bataleon-cameleon-2425-detail3.png|bataleon/cameleon/bataleon-cameleon-2425-detail4.png|bataleon/cameleon/bataleon-cameleon-2425-detail5.png|bataleon/cameleon/bataleon-cameleon-2425-profile1.png|bataleon/cameleon/bataleon-cameleon-2425-profile2.png,"Collection:2024/2025|Sport:snowboarding|Product:snowboard|Brand:Bataleon|Board type:snowboard|terrain:all mountain|Board length(cm):149|Boardwidth:ultra wide(+27,5cm)|Board profile:directional|Camber profile: camber|Base profile:3D base|Taperprofile:tapered|Rider:Men|Rider level:intermediate|Riderweight-max(kg):76|boot length-max(cm):30,2|Featured:home slider|Warranty(yr):2+1",length(cm),149,SN-BRD-Bataleon-cameleon-149-uni-2425,659.0,Standard,999999,True,,,Bataleon,2+1,8720701619326.0,,,snowboard,all mountain,camber,directional,3D base,Men,tapered,,,,sidewalls-flex-walls,,layup-triax-lamination,layup-triax-lamination,layup-triax-lamination,,Description,True,"
<div class=""product-details"">
    <h2>Belangrijkste kenmerken:</h2>
    <ul>
        <li><strong>Profiel omschrijving:</strong> Hybride camber met positieve camber tussen de voeten en opwaartse tip en tail,</li>
        <li><strong>Core omschrijving:</strong> Poplar en Paulownia Classic Core, versterkt met Ash stringers voor stabiliteit,</li>
        <li><strong>Reinforcements:</strong> Strategische Ash versterkingen voor duurzaamheid en absorptie,</li>
        <li><strong>Base omschrijving:</strong> Gerecyclede basis voor snelheid en duurzaamheid,</li>
        <li><strong>Sidewalls:</strong> Elliptische sidecut voor veelzijdigheid en soepele bochten,</li>
    </ul>
    <p>De <strong>United Shapes Object 148</strong> biedt een perfecte balans tussen speelsheid, stabiliteit en duurzaamheid, ideaal voor freestyle-liefhebbers die prestaties combineren met respect voor de natuur,</p>
</div>","
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",Rider level,True,Difficulty rider level rating,True,10,100,Beginner,Expert,70.0,Difficulty flex rating,True,10,100,Soft,Stiff,60.0,Terrain,True,Powder,True,,,80.0,All Mountain,True,,,100.0,Resort,True,,,50.0,303.0,252.0,290.0,1.3000000000000007,"ultra wide(+27,5cm)",30.2,1115.0,"6,58",,460.0,580.0,,,,,,,bataleon/cameleon/bataleon-cameleon-2425-top.png,bataleon/cameleon/bataleon-cameleon-2425-base.png
,,,,,,153,SN-BRD-Bataleon-cameleon-153-uni-2425,659.0,Standard,999999,True,,,,,,,,,,,,,,,,,,,,,,,,Description,True,"
<div class=""product-details"">
    <h2>Belangrijkste kenmerken:</h2>
    <ul>
        <li><strong>Profiel omschrijving:</strong> Hybride camber met positieve camber tussen de voeten en opwaartse tip en tail,</li>
        <li><strong>Core omschrijving:</strong> Poplar en Paulownia Classic Core, versterkt met Ash stringers voor stabiliteit,</li>
        <li><strong>Reinforcements:</strong> Strategische Ash versterkingen voor duurzaamheid en absorptie,</li>
        <li><strong>Base omschrijving:</strong> Gerecyclede basis voor snelheid en duurzaamheid,</li>
        <li><strong>Sidewalls:</strong> Elliptische sidecut voor veelzijdigheid en soepele bochten,</li>
    </ul>
    <p>De <strong>United Shapes Object 148</strong> biedt een perfecte balans tussen speelsheid, stabiliteit en duurzaamheid, ideaal voor freestyle-liefhebbers die prestaties combineren met respect voor de natuur,</p>
</div>","
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",Rider level,True,Difficulty rider level rating,True,10,100,Beginner,Expert,70.0,Difficulty flex rating,True,10,100,Soft,Stiff,60.0,Terrain,True,Powder,True,,,80.0,All Mountain,True,,,100.0,Resort,True,,,50.0,309.0,256.0,295.0,1.3999999999999986,"ultra wide(+27,5cm)",30.6,1149.0,"6,71",,490.0,610.0,,,,,,,bataleon/cameleon/bataleon-cameleon-2425-top.png,bataleon/cameleon/bataleon-cameleon-2425-base.png
,,,,,,157,SN-BRD-Bataleon-cameleon-157-uni-2425,659.0,Standard,999999,True,,,,,,,,,,,,,,,,,,,,,,,,Description,True,"
<div class=""product-details"">
    <h2>Belangrijkste kenmerken:</h2>
    <ul>
        <li><strong>Profiel omschrijving:</strong> Hybride camber met positieve camber tussen de voeten en opwaartse tip en tail,</li>
        <li><strong>Core omschrijving:</strong> Poplar en Paulownia Classic Core, versterkt met Ash stringers voor stabiliteit,</li>
        <li><strong>Reinforcements:</strong> Strategische Ash versterkingen voor duurzaamheid en absorptie,</li>
        <li><strong>Base omschrijving:</strong> Gerecyclede basis voor snelheid en duurzaamheid,</li>
        <li><strong>Sidewalls:</strong> Elliptische sidecut voor veelzijdigheid en soepele bochten,</li>
    </ul>
    <p>De <strong>United Shapes Object 148</strong> biedt een perfecte balans tussen speelsheid, stabiliteit en duurzaamheid, ideaal voor freestyle-liefhebbers die prestaties combineren met respect voor de natuur,</p>
</div>","
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",Rider level,True,Difficulty rider level rating,True,10,100,Beginner,Expert,70.0,Difficulty flex rating,True,10,100,Soft,Stiff,60.0,Terrain,True,Powder,True,,,80.0,All Mountain,True,,,100.0,Resort,True,,,50.0,315.0,260.0,301.0,1.3999999999999986,"ultra wide(+27,5cm)",31.0,1183.0,"6,83",,510.0,630.0,,,,,,,bataleon/cameleon/bataleon-cameleon-2425-top.png,bataleon/cameleon/bataleon-cameleon-2425-base.png
,,,,,,161,SN-BRD-Bataleon-cameleon-161-uni-2425,659.0,Standard,999999,True,,,,,,,,,,,,,,,,,,,,,,,,Description,True,"
<div class=""product-details"">
    <h2>Belangrijkste kenmerken:</h2>
    <ul>
        <li><strong>Profiel omschrijving:</strong> Hybride camber met positieve camber tussen de voeten en opwaartse tip en tail,</li>
        <li><strong>Core omschrijving:</strong> Poplar en Paulownia Classic Core, versterkt met Ash stringers voor stabiliteit,</li>
        <li><strong>Reinforcements:</strong> Strategische Ash versterkingen voor duurzaamheid en absorptie,</li>
        <li><strong>Base omschrijving:</strong> Gerecyclede basis voor snelheid en duurzaamheid,</li>
        <li><strong>Sidewalls:</strong> Elliptische sidecut voor veelzijdigheid en soepele bochten,</li>
    </ul>
    <p>De <strong>United Shapes Object 148</strong> biedt een perfecte balans tussen speelsheid, stabiliteit en duurzaamheid, ideaal voor freestyle-liefhebbers die prestaties combineren met respect voor de natuur,</p>
</div>","
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",Rider level,True,Difficulty rider level rating,True,10,100,Beginner,Expert,70.0,Difficulty flex rating,True,10,100,Soft,Stiff,60.0,Terrain,True,Powder,True,,,80.0,All Mountain,True,,,100.0,Resort,True,,,50.0,321.0,264.0,307.0,1.4000000000000021,"ultra wide(+27,5cm)",31.4,1217.0,"6,95",,520.0,640.0,,,,,,,bataleon/cameleon/bataleon-cameleon-2425-top.png,bataleon/cameleon/bataleon-cameleon-2425-base.png
Goliath plus,bataleon-snowboard-goliathplus,"
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",bataleon/goliath plus/bataleon-goliathplus-2425-top-base.png|bataleon/goliath plus/bataleon-goliathplus-2425-detail1.png|bataleon/goliath plus/bataleon-goliathplus-2425-detail2.png|bataleon/goliath plus/bataleon-goliathplus-2425-detail3.png|bataleon/goliath plus/bataleon-goliathplus-2425-detail4.png|bataleon/goliath plus/bataleon-goliathplus-2425-detail5.png|bataleon/goliath plus/bataleon-goliathplus-2425-profile1.png|bataleon/goliath plus/bataleon-goliathplus-2425-profile2.png,"Collection:2024/2025|Sport:snowboarding|Product:snowboard|Brand:Bataleon|Board type:snowboard|terrain:all mountain|Board length(cm):156|Boardwidth:ultra wide(+27,5cm)|Board profile:directional twin|Camber profile: camber|Base profile:3D base|Taperprofile:non-tapered|Rider:Men|Rider level:expert|Riderweight-max(kg):87|boot length-max(cm):30,4|Warranty(yr):2+1",length(cm),156,SN-BRD-Bataleon-goliathplus-156-uni-2425,699.0,Standard,999999,True,,,Bataleon,2+1,8720701620018.0,,,snowboard,all mountain,camber,directional twin,3D base,Men,non-tapered,,,,layup-carbon-stringers,,layup-triax-lamination,layup-triax-lamination,layup-triax-lamination,,Description,True,"
<div class=""product-details"">
    <h2>Belangrijkste kenmerken:</h2>
    <ul>
        <li><strong>Profiel omschrijving:</strong> Hybride camber met positieve camber tussen de voeten en opwaartse tip en tail,</li>
        <li><strong>Core omschrijving:</strong> Poplar en Paulownia Classic Core, versterkt met Ash stringers voor stabiliteit,</li>
        <li><strong>Reinforcements:</strong> Strategische Ash versterkingen voor duurzaamheid en absorptie,</li>
        <li><strong>Base omschrijving:</strong> Gerecyclede basis voor snelheid en duurzaamheid,</li>
        <li><strong>Sidewalls:</strong> Elliptische sidecut voor veelzijdigheid en soepele bochten,</li>
    </ul>
    <p>De <strong>United Shapes Object 148</strong> biedt een perfecte balans tussen speelsheid, stabiliteit en duurzaamheid, ideaal voor freestyle-liefhebbers die prestaties combineren met respect voor de natuur,</p>
</div>","
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",Rider level,True,Difficulty rider level rating,True,10,100,Beginner,Expert,80.0,Difficulty flex rating,True,10,100,Soft,Stiff,60.0,Terrain,True,Powder,True,,,70.0,All Mountain,True,,,100.0,Resort,True,,,70.0,297.0,254.0,297.0,0.0,"ultra wide(+27,5cm)",30.4,1202.0,"7,85",,510.0,630.0,,,,,,,bataleon/goliath plus/bataleon-goliathplus-2425-top.png,bataleon/goliath plus/bataleon-goliathplus-2425-base.png
,,,,,,158W,SN-BRD-Bataleon-goliathplus-158W-uni-2425,699.0,Standard,999999,True,,,,,,,,,,,,,,,,,,,,,,,,Description,True,"
<div class=""product-details"">
    <h2>Belangrijkste kenmerken:</h2>
    <ul>
        <li><strong>Profiel omschrijving:</strong> Hybride camber met positieve camber tussen de voeten en opwaartse tip en tail,</li>
        <li><strong>Core omschrijving:</strong> Poplar en Paulownia Classic Core, versterkt met Ash stringers voor stabiliteit,</li>
        <li><strong>Reinforcements:</strong> Strategische Ash versterkingen voor duurzaamheid en absorptie,</li>
        <li><strong>Base omschrijving:</strong> Gerecyclede basis voor snelheid en duurzaamheid,</li>
        <li><strong>Sidewalls:</strong> Elliptische sidecut voor veelzijdigheid en soepele bochten,</li>
    </ul>
    <p>De <strong>United Shapes Object 148</strong> biedt een perfecte balans tussen speelsheid, stabiliteit en duurzaamheid, ideaal voor freestyle-liefhebbers die prestaties combineren met respect voor de natuur,</p>
</div>","
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",Rider level,True,Difficulty rider level rating,True,10,100,Beginner,Expert,80.0,Difficulty flex rating,True,10,100,Soft,Stiff,60.0,Terrain,True,Powder,True,,,70.0,All Mountain,True,,,100.0,Resort,True,,,70.0,301.0,266.0,301.0,0.0,"ultra wide(+27,5cm)",31.6,1217.0,"7,93",,510.0,630.0,,,,,,,bataleon/goliath plus/bataleon-goliathplus-2425-top.png,bataleon/goliath plus/bataleon-goliathplus-2425-base.png
,,,,,,159,SN-BRD-Bataleon-goliathplus-159-uni-2425,699.0,Standard,999999,True,,,,,,,,,,,,,,,,,,,,,,,,Description,True,"
<div class=""product-details"">
    <h2>Belangrijkste kenmerken:</h2>
    <ul>
        <li><strong>Profiel omschrijving:</strong> Hybride camber met positieve camber tussen de voeten en opwaartse tip en tail,</li>
        <li><strong>Core omschrijving:</strong> Poplar en Paulownia Classic Core, versterkt met Ash stringers voor stabiliteit,</li>
        <li><strong>Reinforcements:</strong> Strategische Ash versterkingen voor duurzaamheid en absorptie,</li>
        <li><strong>Base omschrijving:</strong> Gerecyclede basis voor snelheid en duurzaamheid,</li>
        <li><strong>Sidewalls:</strong> Elliptische sidecut voor veelzijdigheid en soepele bochten,</li>
    </ul>
    <p>De <strong>United Shapes Object 148</strong> biedt een perfecte balans tussen speelsheid, stabiliteit en duurzaamheid, ideaal voor freestyle-liefhebbers die prestaties combineren met respect voor de natuur,</p>
</div>","
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",Rider level,True,Difficulty rider level rating,True,10,100,Beginner,Expert,80.0,Difficulty flex rating,True,10,100,Soft,Stiff,60.0,Terrain,True,Powder,True,,,70.0,All Mountain,True,,,100.0,Resort,True,,,70.0,309.0,256.0,309.0,0.0,"ultra wide(+27,5cm)",30.6,1225.0,"7,97",,520.0,640.0,,,,,,,bataleon/goliath plus/bataleon-goliathplus-2425-top.png,bataleon/goliath plus/bataleon-goliathplus-2425-base.png
,,,,,,161W,SN-BRD-Bataleon-goliathplus-161W-uni-2425,699.0,Standard,999999,True,,,,,,,,,,,,,,,,,,,,,,,,Description,True,"
<div class=""product-details"">
    <h2>Belangrijkste kenmerken:</h2>
    <ul>
        <li><strong>Profiel omschrijving:</strong> Hybride camber met positieve camber tussen de voeten en opwaartse tip en tail,</li>
        <li><strong>Core omschrijving:</strong> Poplar en Paulownia Classic Core, versterkt met Ash stringers voor stabiliteit,</li>
        <li><strong>Reinforcements:</strong> Strategische Ash versterkingen voor duurzaamheid en absorptie,</li>
        <li><strong>Base omschrijving:</strong> Gerecyclede basis voor snelheid en duurzaamheid,</li>
        <li><strong>Sidewalls:</strong> Elliptische sidecut voor veelzijdigheid en soepele bochten,</li>
    </ul>
    <p>De <strong>United Shapes Object 148</strong> biedt een perfecte balans tussen speelsheid, stabiliteit en duurzaamheid, ideaal voor freestyle-liefhebbers die prestaties combineren met respect voor de natuur,</p>
</div>","
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",Rider level,True,Difficulty rider level rating,True,10,100,Beginner,Expert,80.0,Difficulty flex rating,True,10,100,Soft,Stiff,60.0,Terrain,True,Powder,True,,,70.0,All Mountain,True,,,100.0,Resort,True,,,70.0,313.0,268.0,313.0,0.0,"ultra wide(+27,5cm)",31.8,1240.0,"8,05",,520.0,640.0,,,,,,,bataleon/goliath plus/bataleon-goliathplus-2425-top.png,bataleon/goliath plus/bataleon-goliathplus-2425-base.png
,,,,,,164W,SN-BRD-Bataleon-goliathplus-164W-uni-2425,699.0,Standard,999999,True,,,,,,,,,,,,,,,,,,,,,,,,Description,True,"
<div class=""product-details"">
    <h2>Belangrijkste kenmerken:</h2>
    <ul>
        <li><strong>Profiel omschrijving:</strong> Hybride camber met positieve camber tussen de voeten en opwaartse tip en tail,</li>
        <li><strong>Core omschrijving:</strong> Poplar en Paulownia Classic Core, versterkt met Ash stringers voor stabiliteit,</li>
        <li><strong>Reinforcements:</strong> Strategische Ash versterkingen voor duurzaamheid en absorptie,</li>
        <li><strong>Base omschrijving:</strong> Gerecyclede basis voor snelheid en duurzaamheid,</li>
        <li><strong>Sidewalls:</strong> Elliptische sidecut voor veelzijdigheid en soepele bochten,</li>
    </ul>
    <p>De <strong>United Shapes Object 148</strong> biedt een perfecte balans tussen speelsheid, stabiliteit en duurzaamheid, ideaal voor freestyle-liefhebbers die prestaties combineren met respect voor de natuur,</p>
</div>","
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",Rider level,True,Difficulty rider level rating,True,10,100,Beginner,Expert,80.0,Difficulty flex rating,True,10,100,Soft,Stiff,60.0,Terrain,True,Powder,True,,,70.0,All Mountain,True,,,100.0,Resort,True,,,70.0,316.0,270.0,316.0,0.0,"ultra wide(+27,5cm)",32.0,1263.0,"8,17",,530.0,650.0,,,,,,,bataleon/goliath plus/bataleon-goliathplus-2425-top.png,bataleon/goliath plus/bataleon-goliathplus-2425-base.png
Surfer,bataleon-snowboard-surfer,"
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",bataleon/surfer/bataleon-surfer-2425-top-base.png|bataleon/surfer/bataleon-surfer-2425-detail1.png|bataleon/surfer/bataleon-surfer-2425-detail2.png|bataleon/surfer/bataleon-surfer-2425-detail3.png|bataleon/surfer/bataleon-surfer-2425-detail4.png|bataleon/surfer/bataleon-surfer-2425-detail5.png|bataleon/surfer/bataleon-surfer-2425-profile1.png|bataleon/surfer/bataleon-surfer-2425-profile2.png,"Collection:2024/2025|Sport:snowboarding|Product:snowboard|Brand:Bataleon|Board type:snowboard|terrain:powder|Board length(cm):149|Boardwidth:ultra wide(+27,5cm)|Board profile:directional|Camber profile: camber|Base profile:3D base|Taperprofile:tapered|Rider:Men|Rider level:expert|Riderweight-max(kg):76|boot length-max(cm):30,4|Warranty(yr):2+1",length(cm),149,SN-BRD-Bataleon-surfer-149-uni-2425,999.0,Standard,999999,True,,,Bataleon,2+1,8720701620438.0,,,snowboard,powder,camber,directional,3D base,Men,tapered,,,,board-shape-powder-hull,,layup-triax-lamination,layup-triax-lamination,layup-triax-lamination,,Description,True,"
<div class=""product-details"">
    <h2>Belangrijkste kenmerken:</h2>
    <ul>
        <li><strong>Profiel omschrijving:</strong> Hybride camber met positieve camber tussen de voeten en opwaartse tip en tail,</li>
        <li><strong>Core omschrijving:</strong> Poplar en Paulownia Classic Core, versterkt met Ash stringers voor stabiliteit,</li>
        <li><strong>Reinforcements:</strong> Strategische Ash versterkingen voor duurzaamheid en absorptie,</li>
        <li><strong>Base omschrijving:</strong> Gerecyclede basis voor snelheid en duurzaamheid,</li>
        <li><strong>Sidewalls:</strong> Elliptische sidecut voor veelzijdigheid en soepele bochten,</li>
    </ul>
    <p>De <strong>United Shapes Object 148</strong> biedt een perfecte balans tussen speelsheid, stabiliteit en duurzaamheid, ideaal voor freestyle-liefhebbers die prestaties combineren met respect voor de natuur,</p>
</div>","
<div class=""short-description"">
    <p>De <strong>United Shapes Object 148</strong> is een veelzijdige freestyle twin voor snowboarders van alle niveaus, Met een hybride camberprofiel, zachte flex en duurzame materialen biedt dit unisex board een soepele, speelse rit in het park en op de piste,</p>
</div>",Rider level,True,Difficulty rider level rating,True,10,100,Beginner,Expert,80.0,Difficulty flex rating,True,10,100,Soft,Stiff,40.0,Terrain,True,Powder,True,,,100.0,All Mountain,True,,,80.0,Resort,True,,,30.0,314.0,254.0,284.0,3.0,"ultra wide(+27,5cm)",30.4,1191.0,"7,58",,460.0,580.0,,,,,,,bataleon/surfer/bataleon-surfer-2425-top.png,bataleon/surfer/bataleon-surfer-2425-base.png
